brand,model,model_year,milage,fuel_type,price
Chevrolet,Camaro ZL1,2023,4747.55,Gasoline,6183500
Mercedes-Benz,AMG G 63 Base,2017,117481.82,Gasoline,6474000
Ford,Thunderbird Premium,2005,131965.88,Gasoline,1236700
Audi,e-tron Prestige,2019,12671.94,,3236917
GMC,Sierra 1500 SLT,2017,79026.64,Gasoline,3299250
Kia,Telluride LX,2023,8851.37,Gasoline,3320000
Chevrolet,Corvette Base,2005,59062.78,Gasoline,2158000
BMW,650 i,2014,64373.6,Gasoline,2822000
Nissan,Rogue SL,2017,125705.55,Gasoline,1452500
GMC,Acadia Denali,2015,120481.63,Gasoline,1641740
Cadillac,Escalade Premium Luxury Platinum,2021,24703.37,Gasoline,7760500
Nissan,GT-R Premium,2010,74190.57,Gasoline,6058917
Toyota,Highlander XLE,2018,98900.38,Gasoline,2573000
BMW,X7 xDrive40i,2020,72808.15,Gasoline,4523500
INFINITI,QX60 Base,2018,77248.32,Gasoline,2241000
Lexus,IS 250C Base,2010,110239.79,Gasoline,1535500
GMC,Sierra 1500 Denali,2019,69898.46,Gasoline,4307617
Chevrolet,SSR Base,2005,197886.06,Gasoline,1742585
Dodge,Challenger R/T,2014,149444.92,Gasoline,1639250
Hyundai,Equus Signature,2016,115872.48,Gasoline,1776200
Lamborghini,Aventador SVJ Base,2019,11151.12,Gasoline,53949917
Ford,Mustang GT,2003,133575.22,Gasoline,871500
Audi,e-tron Premium,2021,29018.01,,3286717
Toyota,Sequoia Limited,2023,13196.59,Hybrid,6548700
Land,Rover Range Rover Sport HST MHEV,2020,30577.46,Hybrid,6216700
Jeep,Grand Cherokee L Limited,2022,20720.25,Gasoline,3535717
Maserati,GranTurismo Sport,2015,51498.88,Gasoline,2988000
BMW,M5 Base,2013,98403.09,Gasoline,3112500
Mercedes-Benz,C-Class 4MATIC Sedan,2022,15468.98,Gasoline,3643700
Land,Rover Range Rover Sport First Edition,2023,5687.41,Hybrid,11951834
Ford,F-150 Lariat,2011,244619.68,Gasoline,1162000
Audi,A4 2.0T Premium,2012,208517.36,Gasoline,581000
BMW,540 i xDrive,2019,57936.24,Gasoline,3485585
BMW,X6 xDrive35i,2009,148072.15,Gasoline,1037500
Ford,Mustang Base,1998,102836.83,Gasoline,854900
Toyota,Sequoia Limited,2012,242849.41,Gasoline,1452500
Dodge,Challenger R/T Scat Pack,2019,69201.62,–,4150000
Land,Rover Range Rover 3.0L Supercharged,2018,61187.11,Gasoline,5311834
Audi,Q8 55 Premium Plus,2021,23737.76,Hybrid,5067897
Subaru,WRX Base,2015,84490.35,Gasoline,1909000
Chevrolet,Suburban LT,2017,334052.31,Gasoline,1743000
INFINITI,QX60 Pure,2020,62764.26,Gasoline,2481700
Porsche,Cayman Base,2011,106216.44,Gasoline,2324000
INFINITI,QX60 Base,2017,150473.29,Gasoline,1328000
BMW,M4 Base,2018,11587.25,Gasoline,5312000
Maserati,MC20 MC20,2022,1963.39,Gasoline,19828700
Land,Rover Defender SE,2023,13552.25,Hybrid,7470000
BMW,M8 Base,2020,41070.36,Gasoline,7046700
Tesla,Model Y Performance,2020,49171.77,,3485917
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,27358.78,,4556700
Mercedes-Benz,SL-Class SL 550,2011,66488.27,Gasoline,2572917
Land,Rover Range Rover P525 HSE SWB,2020,80304.46,Gasoline,5353500
Ford,Escape XLT,2012,299768.54,E85 Flex Fuel,373500
Lexus,ES 350 Base,2016,82615.47,Gasoline,2157585
Porsche,718 Boxster GTS,2019,16737.14,Gasoline,8279250
Mercedes-Benz,G-Class G 550,2020,33187.81,Gasoline,11868834
RAM,1500 Big Horn,2022,31182.57,Gasoline,3806463
Audi,R8 5.2 V10 performance,2020,19706.37,Gasoline,15595700
Mitsubishi,Lancer Evolution IX,2006,123919.18,Gasoline,4731000
Acura,TL Technology,2013,64373.6,Gasoline,1992000
Cadillac,CTS Luxury,2012,181855.42,Gasoline,830000
Chevrolet,Camaro 1SS,2022,12230.98,Gasoline,3818000
Toyota,Camry Hybrid LE,2022,32830.54,Hybrid,2481700
Ford,Transit-350 XLT,2019,185074.1,Gasoline,3237000
Lexus,RX 450h Base,2012,384632.26,Hybrid,581000
Jaguar,F-TYPE V6 S,2014,100091.29,Gasoline,2738834
Jeep,Wrangler Sahara,2020,35627.57,Gasoline,3203634
Porsche,718 Boxster S,2017,78696.73,Gasoline,5187500
Audi,R8 5.2,2014,35083.61,Gasoline,9711000
Lincoln,MKZ Base,2016,109756.99,Gasoline,1390250
Chevrolet,S-10 LS Crew Cab,2001,223698.26,Gasoline,581000
Mercedes-Benz,G-Class G 550 4MATIC,2021,122470.77,Gasoline,10790000
Lexus,RX 350 RX 350 F SPORT Handling,2022,23061.84,Gasoline,4564834
BMW,750 i xDrive,2019,67441,Gasoline,3817917
Chevrolet,Camaro 2SS,2016,263931.76,Gasoline,1784500
Ford,Fusion Hybrid SE,2013,260605.25,Hybrid,659435
Hyundai,Santa Cruz 2.5T Limited,2022,36739.62,Gasoline,2870140
Lexus,RX 350 F Sport,2023,8824.01,Gasoline,4975850
Land,Rover Range Rover Evoque S,2020,75463.56,Gasoline,2573000
Chevrolet,Suburban LT,2019,115872.48,Gasoline,3237000
Porsche,718 Spyder Base,2020,5471.76,Gasoline,10781700
Chevrolet,Camaro 1LT,2021,28968.12,Gasoline,2490000
Jeep,Gladiator Freedom,2021,49294.08,Gasoline,3319834
Toyota,Tacoma Double Cab,2007,40209.36,Gasoline,2787140
GMC,Yukon Denali Ultimate,2023,16057.99,Gasoline,7801917
Ford,Shelby GT350R Base,2018,29772.79,Gasoline,6473917
Cadillac,Escalade Premium Luxury Platinum,2021,117229.15,Gasoline,6639170
Buick,LaCrosse Base,2017,108630.45,Gasoline,1660000
Tesla,Model X Long Range Plus,2020,70061.01,,5477170
Mercedes-Benz,E-Class E 300 4MATIC,2017,59384.65,Gasoline,2365500
Chevrolet,Tahoe LT,2017,99328.46,E85 Flex Fuel,3319834
Kia,Telluride EX,2022,57836.46,Gasoline,3596307
Toyota,Tundra Hybrid Limited,2023,17297.19,Hybrid,5237300
Audi,S8 4.0T quattro,2023,7172.83,Gasoline,8955700
Nissan,Armada Platinum,2018,174140.24,Gasoline,2199334
Land,Rover Discovery HSE,2020,52633.46,Diesel,3867634
Kia,Telluride S,2020,119133,Gasoline,2731779
Lexus,GS 350 F Sport,2020,39671.84,Gasoline,3813850
BMW,X6 xDrive40i,2022,20921.42,Hybrid,5727000
Land,Rover Range Rover P400 SE SWB,2023,18829.28,Hybrid,11080500
Chevrolet,Silverado 3500 High Country,2015,124723.85,Diesel,4482000
Maserati,Quattroporte Sport GT,2007,131965.88,Gasoline,663917
Dodge,Viper GTC,2017,2235.37,Gasoline,40669585
Ford,Expedition Limited,2021,48006.61,Gasoline,4592307
Mazda,Mazda6 i Grand Touring,2016,133736.15,–,1477400
Kia,Optima LX,2019,100841.24,Gasoline,1369500
Land,Rover Range Rover Sport SVR,2018,90132.7,Gasoline,4897000
Lexus,RX 450h F SPORT Handling,2021,50476.95,Hybrid,4398834
Lincoln,Town Car Base,2004,44417.78,Gasoline,1236700
Honda,Civic Si,2012,76033.27,Gasoline,1626800
Lexus,RX 450h Base,2017,119007.47,Hybrid,2655170
RAM,1500 Classic Warlock,2019,59154.51,E85 Flex Fuel,2652099
Tesla,Model Y Long Range,2023,7702.3,,3984000
Audi,RS 3 2.5T,2023,3057.75,Gasoline,6548700
Hyundai,Genesis Coupe 3.8 R-Spec,2014,83782.24,Gasoline,1245000
Porsche,Boxster RS 60 Spyder,2008,93341.72,Gasoline,3444500
Ford,F-250 XLT,2010,84081.58,Diesel,2165885
Kia,Sorento EX,2016,103464.47,Gasoline,1410917
Nissan,370Z Touring,2009,60350.25,Gasoline,1784500
Genesis,G70 2.0T,2023,3413.41,Gasoline,3382250
Land,Rover Range Rover Sport Supercharged,2013,91732.38,Gasoline,2158000
Mercedes-Benz,S-Class S 560 4MATIC,2020,35405.48,Gasoline,5768500
Ford,Bronco Wildtrak Advanced,2023,3218.68,Gasoline,5519500
RAM,1500 SLT,2018,99460.43,E85 Flex Fuel,2656000
Dodge,Challenger R/T,2010,117481.82,–,1452500
Chevrolet,Sonic LT,2013,177027.4,–,622500
Jeep,Grand Cherokee Laredo,2013,171716.58,E85 Flex Fuel,1120500
Audi,RS 5 4.2,2013,122253.51,Gasoline,2987917
Jeep,Grand Cherokee L Overland,2022,51183.45,Gasoline,4066585
Mazda,MX-5 Miata Base,1992,202454.97,–,954500
Chrysler,Crossfire Limited,2005,187198.43,Gasoline,498000
Audi,S5 4.2 Premium Plus,2011,252465.21,Gasoline,821700
Tesla,Model X Base,2023,317.04,,7055000
Cadillac,CT4 Luxury,2020,56648.77,Gasoline,2365500
Maserati,Ghibli S Q4,2014,122309.84,Gasoline,1577000
Jaguar,F-PACE 25t Premium,2019,46670.86,Gasoline,2863500
BMW,750 i xDrive,2019,53911.28,Gasoline,3693085
Acura,TLX V6 Advance,2019,41487.18,Gasoline,2572917
GMC,Terrain SLT-1,2015,122786.2,Gasoline,788500
BMW,i3 Base w/Range Extender,2014,47560.83,,1062400
Nissan,Versa 1.8 S,2011,176869.68,Gasoline,373500
Mercedes-Benz,C-Class C 300 4MATIC,2019,37148.4,Gasoline,2780500
Toyota,Matrix XRS,2003,231101.22,Gasoline,348517
RAM,1500 Limited,2021,35405.48,Gasoline,4548400
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,20921.42,Hybrid,6764500
Audi,A5 2.0T Premium,2018,85295.02,Gasoline,2324000
Lincoln,Navigator Reserve,2019,72003.48,Gasoline,4398917
Audi,A6 3.2 quattro,2008,325086.68,Gasoline,473100
Chevrolet,Silverado 1500 LT Crew Cab,2006,346008.1,Gasoline,580585
Mercedes-Benz,S-Class S 560,2019,124141.27,Gasoline,4149834
Volvo,XC90 T6 Momentum,2018,145872.19,Gasoline,2157917
Toyota,Camry SE,2011,285982.94,Gasoline,639100
Mercedes-Benz,Metris Base,2018,93904.99,Gasoline,2448251
Chevrolet,Camaro 2LT,2010,138676.83,Gasoline,1411000
Mazda,MX-5 Miata Grand Touring,2012,58850.35,Gasoline,1676517
Ford,Escape SE,2015,87478.89,Gasoline,1348750
Mercedes-Benz,S-Class S 63 AMG,2015,32820.88,Gasoline,4946634
Kia,Niro EX,2023,12195.58,Hybrid,2582379
Porsche,Boxster Base,2010,104285.23,Gasoline,1734700
Toyota,4Runner Trail,2016,189548.07,Gasoline,2303250
Hyundai,Kona EV SEL,2019,53269.15,,1510600
Land,Rover Range Rover Evoque SE,2016,138728.33,Gasoline,1556250
Ford,E350 Super Duty XLT,2012,262322.42,E85 Flex Fuel,1622650
Mercedes-Benz,SL-Class SL500 Roadster,2004,56970.64,Gasoline,2066700
Jeep,Compass Trailhawk,2018,49889.54,Gasoline,1826000
Mercedes-Benz,S-Class S 560 4MATIC,2018,165873.06,Gasoline,3402834
Mercedes-Benz,G-Class G 550 4MATIC,2021,36177.96,Gasoline,11271400
Tesla,Model X P90D,2016,146449.94,,3278500
Lexus,IS-F Base,2010,66787.61,Gasoline,3718400
BMW,335 i,2010,147327.03,Gasoline,1079000
Audi,RS 7 4.0T,2022,6598.29,Hybrid,13487500
Buick,Lucerne CXL,2006,177027.4,Gasoline,415000
Lincoln,MKX Reserve,2016,141621.92,Gasoline,1535500
Nissan,Armada Platinum,2018,68932.86,Gasoline,3071000
Porsche,911 Carrera,2020,37462.22,Gasoline,9544834
Mercedes-Benz,E-Class 400E,1993,172172.02,–,1269900
BMW,435 Gran Coupe i,2015,96721.33,Gasoline,2074585
Jeep,Wagoneer Series III,2022,27971.94,Gasoline,5783855
Cadillac,ATS 2.5L,2013,101665.23,Gasoline,1078585
Ford,Transit Connect XLT,2010,115872.48,Gasoline,904700
Kia,EV6 GT-Line,2022,7757.02,,3942500
Audi,S5 3.0T Premium Plus,2014,109274.19,Gasoline,2157170
Toyota,Tundra SR,2018,82076.34,Gasoline,3154000
Jeep,Wrangler Unlimited Freedom Edition,2013,87709.03,Gasoline,2905000
Maserati,Quattroporte Base,2006,99521.59,Gasoline,1369500
Mercedes-Benz,CLS-Class CLS500,2006,46590.39,Gasoline,1390250
GMC,Sierra 3500 SLE,2002,482802,Diesel,415000
Nissan,Frontier SL,2011,166405.76,Gasoline,1411000
BMW,M5 Base,2023,1313.22,Gasoline,9121700
Porsche,911 R,2016,1157.12,Gasoline,40587000
Land,Rover Defender X-Dynamic SE,2023,5919.15,Hybrid,6805834
Ford,F-150 XL,2016,172199.38,E85 Flex Fuel,1826000
BMW,M8 Competition,2022,8075.67,Gasoline,9544834
Porsche,911 Carrera S,2010,22289.36,Gasoline,5926200
Volvo,XC70 3.2,2008,75156.18,Gasoline,946200
Chrysler,300 Touring,2021,34565.4,Gasoline,2307234
Honda,Insight EX,2020,103319.63,Hybrid,1701417
Porsche,Cayman S,2006,50010.24,Gasoline,3008750
Tesla,Model Y Performance,2022,40635.84,,3967400
BMW,M5 Competition,2020,56970.64,Gasoline,5971850
Audi,S4 4.2 quattro,2004,119139.44,Gasoline,1328000
Ford,F-250 Platinum,2021,78131.85,Diesel,5809834
Kia,Seltos S,2023,8339.6,Gasoline,2697500
RAM,ProMaster 2500 High Roof,2019,50985.5,Gasoline,2780500
BMW,M760 M760i xDrive,2020,37706.84,Gasoline,6722834
Mercedes-Benz,E-Class E 400,2015,48763,Gasoline,2407000
Cadillac,XTS Luxury,2016,180246.08,Gasoline,1211717
INFINITI,Q50 Premium,2014,204959.11,Gasoline,1659170
Volkswagen,Touareg V6 Executive,2017,81432.6,Gasoline,2397870
Chevrolet,Suburban 1500 LTZ,2011,312211.96,E85 Flex Fuel,825850
Toyota,Tundra SR5,2021,53840.47,Gasoline,3714250
BMW,X1 sDrive28i,2022,69201.62,Gasoline,2967250
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,74193.79,Gasoline,2929900
Cadillac,XTS Luxury,2019,94951.06,Gasoline,1743000
Jaguar,XJ8 Base,2004,215651.56,Gasoline,788500
Chevrolet,Camaro ZL1,2020,5978.7,Gasoline,12450000
Mercedes-Benz,Sprinter 2500,2012,161328.29,Diesel,1992000
Mercedes-Benz,C-Class C 300 4MATIC,2022,13812.97,Gasoline,3568917
Dodge,Dakota SLT,2003,228204.41,Gasoline,473100
Audi,A5 2.0T Premium Plus,2012,123919.18,Gasoline,1145400
Audi,A5 2.0T Premium,2018,107882.11,Gasoline,2614500
Audi,S5 3.0 Premium Plus,2012,98893.94,Gasoline,1618500
Porsche,Panamera GTS,2015,63568.93,Gasoline,4364970
Mercedes-Benz,AMG GT C,2020,10621.64,Gasoline,10698700
Chevrolet,Camaro 2SS,2023,3701.48,Gasoline,4274500
Audi,Q7 Premium Plus,2023,17060.61,Hybrid,5145834
Maserati,GranTurismo MC,2018,28968.12,Gasoline,5561000
GMC,Sierra 2500 AT4,2022,50985.5,Gasoline,5640929
Cadillac,XT6 Sport AWD,2020,38807.62,Gasoline,4102441
Jeep,Grand Cherokee L Laredo,2022,35580.9,Gasoline,3601287
Chevrolet,Avalanche 1500 LT,2012,238182.32,E85 Flex Fuel,1494000
BMW,M5 Base,2018,65982.94,Gasoline,4996600
Nissan,Titan SE,2009,205351.78,E85 Flex Fuel,1618500
Dodge,Ram 1500 SRT-10 Quad Cab,2005,222813.12,Gasoline,1577000
GMC,Sierra 1500 SLT,2013,370148.2,E85 Flex Fuel,1286500
Lexus,RX 350 F Sport,2017,86339.48,Gasoline,2739000
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,280025.16,Gasoline,995917
INFINITI,QX80 Luxe,2022,80241.69,Gasoline,3954535
Mercedes-Benz,AMG C 63 S,2021,21967.49,Gasoline,6225000
BMW,528 i xDrive,2016,215651.56,Gasoline,1120500
Porsche,911 Carrera,2014,125528.52,Gasoline,5644000
Porsche,Boxster S,2005,105814.1,Gasoline,1805250
BMW,X6 M Base,2021,28968.12,Gasoline,7802000
Ford,Mustang Premium,2007,195744.02,Gasoline,784350
Rivian,R1S Launch Edition,2023,7242.03,,7469917
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,15140.67,Hybrid,5145917
BMW,528 i xDrive,2016,193120.8,Gasoline,1328000
Cadillac,Escalade ESV Platinum,2016,271334.72,Gasoline,2448500
Chevrolet,Corvette Base,2004,70336.2,Gasoline,2149700
Audi,A5 2.0T Premium,2013,178636.74,Gasoline,954500
Audi,TT 2.0T Premium,2012,103881.29,Gasoline,1411000
Buick,LaCrosse CX,2007,85295.02,Gasoline,539500
Chevrolet,Camaro 2SS,2017,21669.76,Gasoline,3726700
Tesla,Model Y Long Range,2023,9404.98,,4316000
BMW,M3 Base,2015,119091.16,Gasoline,3320000
Kia,Optima LX,2011,161466.69,Gasoline,572700
Toyota,Supra 3.0 Premium,2022,39992.1,Gasoline,4446144
Lincoln,Nautilus Reserve,2021,28110.34,Gasoline,3640380
Nissan,Pathfinder SL,2015,185074.1,Gasoline,995585
BMW,X5 xDrive50i,2015,115872.48,Gasoline,2199500
Mazda,MazdaSpeed3 Grand Touring,2008,260713.08,Gasoline,539500
GMC,Yukon XL SLT,2017,76586.88,Gasoline,3776500
Toyota,bZ4X Limited,2023,10537.96,,3485917
RAM,ProMaster 2500 High Roof,2018,16638.97,Gasoline,3070170
RAM,1500 Classic SLT,2021,51646.94,Gasoline,2914379
Lexus,GS 350 Base,2014,137236.47,Gasoline,1991834
Hyundai,Tucson Limited,2016,222088.92,Gasoline,912170
Chevrolet,SSR Base,2003,140817.25,Gasoline,1410917
Maserati,GranTurismo Base,2013,56198.15,Gasoline,3228700
Tesla,Model X Performance,2020,43812.67,,5477917
BMW,M2 Base,2018,40233.5,Gasoline,4316000
Tesla,Model Y Long Range,2021,23563.96,,4025500
Subaru,Outback 2.5i Limited,2015,260713.08,Gasoline,1161917
Buick,Roadmaster Estate,1996,192316.13,Gasoline,1410917
Land,Rover Range Rover 5.0L Supercharged,2017,163830.81,Gasoline,3029500
Ford,Expedition Max XLT,2021,135749.44,Gasoline,3543353
Nissan,Leaf SL,2012,43339.53,,556100
Toyota,Tacoma TRD Pro,2019,65496.92,Gasoline,3559538
Mercedes-Benz,AMG GT 63 S 4-Door,2020,64373.6,Gasoline,9337500
BMW,230 i,2019,48280.2,Gasoline,2407000
Lexus,ES 350 Base,2007,127105.67,Gasoline,879800
Porsche,911 Carrera S Cabriolet,2007,46419.8,Gasoline,5809585
Porsche,Taycan Turbo,2020,33841.2,,8042700
Maserati,Levante Modena,2023,8704.92,Gasoline,7382850
Dodge,Challenger SRT Hellcat,2020,20438.62,Gasoline,5801700
Mazda,Mazda6 Touring,2021,30577.46,Gasoline,2149700
Audi,S4 3.0T Premium,2019,19312.08,Gasoline,3984000
Ford,Mustang GT Premium,2016,41387.4,Gasoline,2813700
Tesla,Model Y Long Range,2022,19400.59,,3685200
Audi,TTS 2.0T Premium Plus,2011,112171,Gasoline,1909000
BMW,M2 Competition,2020,40254.42,Gasoline,4565000
Audi,Q4 e-tron Sportback Premium,2023,1860.4,,4556700
BMW,740 i,2016,93243.55,Gasoline,2282500
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,84802.56,Gasoline,4149917
Mercedes-Benz,S-Class S 550 4MATIC,2015,86904.36,Gasoline,3071000
Honda,S2000 Base,2002,177832.07,Gasoline,2241000
Chevrolet,Corvette Base,2000,156910.65,Gasoline,830000
Chevrolet,Colorado Z71,2020,33649.69,Gasoline,2937121
Mercedes-Benz,S-Class S 63 AMG,2013,124962.03,Gasoline,3320000
Bentley,Continental GTC Base,2013,127817,Gasoline,5312000
GMC,Sierra 2500 SLE H/D Extended Cab,2002,86662.96,Gasoline,1402700
Audi,SQ5 3.0T Premium,2020,35135.11,Gasoline,3486000
Toyota,Corolla iM Base,2017,67482.84,Gasoline,1552100
GMC,Yukon XL SLT,2017,177027.4,Gasoline,2904917
Toyota,Tundra 1794,2020,108469.52,Gasoline,3942500
Subaru,WRX Premium,2017,100844.46,Gasoline,1992000
Subaru,WRX Base,2015,164152.68,Gasoline,1494000
INFINITI,Q50 Premium,2014,128401.19,Gasoline,1368504
Chevrolet,Suburban Premier,2017,268033.97,Gasoline,2070850
Toyota,Sequoia Limited,2006,306830.33,Gasoline,738700
Dodge,Challenger R/T Scat Pack,2016,12758.85,–,3112500
Porsche,Cayenne GTS,2009,218236.16,Gasoline,1245000
Kia,Telluride S,2023,23657.3,Gasoline,3311700
Mercedes-Benz,AMG E 63 S 4MATIC,2019,20897.28,Gasoline,7968000
BMW,Z4 sDrive35is,2014,6759.23,Gasoline,5394585
Subaru,Impreza 2.0i Sport,2017,70810.96,Gasoline,1950500
Dodge,Dart SE,2015,106216.44,Gasoline,996000
Land,Rover Range Rover P525 Westminster,2021,28879.61,Gasoline,7461700
Nissan,370Z Base,2013,171716.58,Gasoline,1452500
Cadillac,Escalade ESV Luxury,2020,193120.8,Gasoline,4565000
Mercedes-Benz,E-Class E 350,2012,95916.66,Gasoline,1651700
Kia,Optima Hybrid EX,2012,188646.83,Hybrid,738700
Chevrolet,Silverado 3500 LTZ,2022,137115.77,Diesel,5602500
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,102112.62,Gasoline,2018975
Dodge,Ram 1500 SRT-10,2004,117481.82,Gasoline,1867500
Scion,tC Anniversary Edition,2014,185074.1,Gasoline,954085
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,90123.04,Gasoline,4141700
Lexus,LS 500 Base,2018,108302.14,Gasoline,3394700
Chevrolet,Suburban 1500 LT,2015,288393.73,Gasoline,1328000
Maserati,GranTurismo Base,2015,45061.52,Gasoline,3734917
Porsche,911 Carrera Turbo,2003,249447.7,Gasoline,4565000
Hyundai,Sonata Hybrid Base,2012,247838.36,Hybrid,705500
Cadillac,CTS Luxury,2012,100583.75,Gasoline,1573265
BMW,323 Ci,2000,285979.72,Gasoline,207500
Tesla,Model 3 Standard Range Plus,2019,134701.76,,2158000
Chevrolet,1500 Cheyenne Extended Cab,1995,193120.8,–,539500
Nissan,370Z Touring,2012,104607.1,Gasoline,1784500
Mercedes-Benz,GLS 450 Base 4MATIC,2018,101079.43,Gasoline,3203634
Ford,Mustang GT Premium,2021,4828.02,Gasoline,4108500
Audi,Q5 2.0T Premium,2012,191511.46,Gasoline,996000
RAM,2500 Big Horn,2013,320046.23,Diesel,2075000
Dodge,Ram 1500 ST,2011,302555.92,Gasoline,705500
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,253318.16,Gasoline,892250
Dodge,Challenger SRT Hellcat,2016,13241.65,Gasoline,5187500
Land,Rover Range Rover 3.0L Supercharged HSE,2018,117644.36,Gasoline,3564850
BMW,M4 Base,2018,17622.27,Gasoline,5062585
Mercedes-Benz,S-Class S 560 4MATIC,2018,101645.91,Gasoline,3901000
Land,Rover Range Rover 5.0L V8 Supercharged,2019,51283.23,Gasoline,5718700
Chevrolet,Express 3500 Base,2009,120700.5,Gasoline,1568700
Toyota,4Runner TRD Pro,2016,157715.32,Gasoline,2988000
Mazda,MX-5 Miata Grand Touring,2012,54035.2,Gasoline,1568700
Volkswagen,Touareg VR6 Lux,2012,198270.69,Gasoline,1033267
Jaguar,XJ Base,2013,180246.08,Gasoline,730400
Chevrolet,Camaro 2SS,2010,109435.12,Gasoline,1618500
INFINITI,G37 x,2012,193120.8,Gasoline,1203500
BMW,X6 xDrive50i,2019,72420.3,Gasoline,3900917
Chevrolet,Camaro LT1,2022,10782.58,Gasoline,3278500
Porsche,Taycan Base,2021,10919.37,,9038700
Mercedes-Benz,S-Class S 63 AMG,2015,65822.01,Gasoline,4959250
Cadillac,Escalade ESV Premium Luxury,2018,119332.56,Gasoline,3735000
Toyota,Camry Hybrid XLE,2014,151998.94,Hybrid,1327917
Audi,A6 3.0T Prestige,2015,173808.72,Gasoline,1659834
BMW,X5 M Base,2012,189902.12,Gasoline,1411000
Jaguar,F-PACE SVR,2020,62442.39,Gasoline,4772500
BMW,740 i,2017,88513.7,Gasoline,3320000
BMW,M340 i xDrive,2021,56273.79,Hybrid,4149917
Jeep,Wrangler Unlimited Sport,2016,137316.94,Gasoline,2490000
RAM,2500 Tradesman,2018,102595.42,Gasoline,2988000
Ford,Mustang V6,2016,140411.7,Gasoline,1659917
BMW,328 i,1997,331524.04,Gasoline,1319700
Mercedes-Benz,GL-Class GL 450,2011,181620.46,Gasoline,995917
Rivian,R1S Adventure Package,2023,1850.74,,8038550
Tesla,Model Y Long Range,2023,16093.4,,3984000
Mercedes-Benz,E-Class E 350,2022,22691.69,Gasoline,4399000
BMW,X7 xDrive40i,2023,23110.12,Hybrid,7096085
Chevrolet,Trailblazer RS,2023,16093.4,Gasoline,2656000
Chevrolet,Suburban 1500 LTZ,2015,350031.45,Gasoline,1660000
Chevrolet,Suburban Premier,2021,118843.32,Gasoline,5062585
Jeep,Gladiator Overland,2020,64373.6,Gasoline,3735000
GMC,Yukon XL AT4,2023,16061.21,Gasoline,6806000
Mazda,Mazda6 Grand Touring Reserve,2019,67587.45,Gasoline,2074585
Alfa,Romeo Giulia Ti,2021,3218.68,Gasoline,3237000
Mercedes-Benz,CLA-Class CLA 250,2016,68799.28,Gasoline,1908917
BMW,330 330i xDrive,2019,31338.68,Gasoline,2630934
Volkswagen,Beetle 2.0T S,2019,56874.08,Gasoline,1909000
Mercedes-Benz,CLK-Class CLK 350,2008,149668.62,Gasoline,996000
Audi,RS 7 4.0T Prestige,2014,106457.84,Gasoline,3983585
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,31143.95,Plug-In Hybrid,4531717
Land,Rover Range Rover Supercharged LWB,2020,130356.54,Gasoline,5378400
Toyota,Sequoia Limited,2011,294509.22,Gasoline,1328000
Jeep,Wrangler X,2004,70810.96,Gasoline,2074917
Audi,S5 3.0T Premium,2021,29129.05,Gasoline,4299400
Land,Rover Range Rover Sport Supercharged,2011,64373.6,Gasoline,1660000
Mercedes-Benz,Sprinter 2500,2011,193120.8,Diesel,2655917
Toyota,Sequoia Platinum,2023,523.04,Hybrid,7054751
Maserati,Quattroporte S GranLusso,2017,88513.7,Gasoline,3245300
Toyota,Land Cruiser Base,1996,374976.22,–,622500
Lamborghini,Aventador SVJ Base,2021,11244.46,Gasoline,62245850
Ford,Mustang Bullitt,2019,78052.99,Gasoline,3734917
RAM,2500 Tradesman,2018,83685.68,Diesel,4150000
Toyota,FJ Cruiser Base,2007,288071.86,Gasoline,1485700
Dodge,Charger Scat Pack,2019,68599.73,Gasoline,3486000
Lexus,GX 460 Base,2018,106055.51,Gasoline,2880100
Genesis,GV80 2.5T,2022,12107.06,Gasoline,4527069
Jaguar,F-PACE 30t R-Sport,2019,55304.97,Gasoline,4946634
Kia,Sportage S,2021,27276.7,Gasoline,2074585
Mercedes-Benz,S-Class S 580 4MATIC,2022,12823.22,Hybrid,8714917
Porsche,Panamera Base,2018,98169.74,Gasoline,4772500
INFINITI,QX80 Base,2018,161841.67,Gasoline,1917715
Ford,Maverick Lariat,2022,22047.96,Hybrid,3278500
Kia,Telluride SX,2021,62139.84,Gasoline,3506086
Chevrolet,Colorado Z85,2005,249447.7,Gasoline,663585
Mercedes-Benz,E-Class E 550,2017,90123.04,Gasoline,2967250
Land,Rover Range Rover Sport SVR,2022,24312.3,Gasoline,9536700
Toyota,Corolla Hybrid LE,2022,71549.65,Hybrid,1904435
Mercedes-Benz,E-Class E 300 4MATIC,2017,49889.54,Gasoline,3154000
Mercedes-Benz,SLK-Class SLK 350,2012,70810.96,Gasoline,1844426
Mercedes-Benz,E-Class E 400 4MATIC,2018,36303.49,Gasoline,3954535
Jeep,Wrangler X,2003,186936.11,Gasoline,1182750
Lincoln,Navigator Premiere,2018,37819.49,Gasoline,4150000
